MPI,OMP,nsamples,bounces,1000
24,1,1000,26,5.161598
20,1,1000,26,6.323579
16,1,1000,26,8.008114
10,1,1000,26,14.027002
4,1,1000,26,40.972296
8,1,1000,26,17.855912
24,1,1000,26,4.877832
20,1,1000,26,5.996009
16,1,1000,26,7.574845
24,1,1000,26,4.867519
3,1,1000,26,59.735329
20,1,1000,26,5.463881
10,1,1000,26,12.172675
16,1,1000,26,6.580298
8,1,1000,26,15.255391
10,1,1000,26,10.936241
2,1,1000,26,85.866737
4,1,1000,26,36.455858
8,1,1000,26,14.341338
3,1,1000,26,50.980871
4,1,1000,26,36.186926
2,1,1000,26,76.670011
3,1,1000,26,50.872538
2,1,1000,26,76.665921
20,1,1000,26,5.510906
16,1,1000,26,6.965287
10,1,1000,26,12.321099
8,1,1000,26,17.090573
20,1,1000,26,5.199428
32,1,1000,26,3.047735
24,1,1000,26,4.940323
16,1,1000,26,6.587179
32,1,1000,26,2.858720
4,1,1000,26,41.917009
20,1,1000,26,4.847149
24,1,1000,26,4.655658
32,1,1000,26,2.852825
10,1,1000,26,12.129534
16,1,1000,26,5.973337
8,1,1000,26,16.962446
3,1,1000,26,59.569028
24,1,1000,26,4.549286
2,1,1000,26,94.483357
10,1,1000,26,12.502429
8,1,1000,26,16.721144
4,1,1000,26,39.315426
3,1,1000,26,52.549397
4,1,1000,26,36.579223
2,1,1000,26,82.638927
1,1,1000,26,214.0695833,1,1000,26,50.770288
2,1,1000,26,79.375692
,410.782732
