MPI,OMP,nsamples,bounces,200,400,600,800,1000,1200,1400,1600,1800,2000
10,1,2000,26,1.416881,2.867509,4.345569,5.843941,7.377579,8.946742,10.499976,12.053915,13.604889,15.202391
10,1,2000,26,1.667990,3.412183,5.057046,6.643093,8.185331,9.739760,11.278543,12.825722,14.359928,16.022850
10,1,2000,26,1.542621,3.130203,4.735293,6.266106,7.819929,9.448734,11.024196,12.595868,14.160879,15.736844
10,1,2000,26,1.800941,3.621621,5.438632,7.276488,9.119127,10.984040,12.852670,14.732480,16.597040,18.482167
10,1,2000,26,1.898512,3.797316,5.692357,7.597156,9.492785,11.391203,13.278336,15.152523,17.040022,18.858197
10,1,2000,26,1.891359,3.782292,5.663113,7.532237,9.409763,11.304839,13.173142,15.046689,16.897835,18.706566
10,1,2000,26,1.884393,3.757301,5.629971,7.498029,9.371318,11.234817,13.106569,14.977835,16.819087,18.624765
10,1,2000,26,1.875483,3.741903,5.632253,7.489366,9.347431,11.195702,13.046276,14.906195,16.738624,18.544417
10,1,2000,26,1.881089,3.763255,5.645311,7.536082,9.401231,11.257337,13.120478,14.986208,16.826566,18.629753
10,1,2000,26,1.550373,3.100286,4.643344,6.179301,7.695929,9.222954,10.757547,12.313428,13.911441,15.453407
